10143,35.0,F,11/17/1997,19.0,Y,104,PHX,Phoenix,Suns,50,60,29,101,28,11,4,Dragan Bender
9544,13.0,PF,3/14/1993,24.0,N,84,BRO,Brooklyn,Nets,31,44,25,48,13,36,26,Anthony Bennett
11964,,PF,3/29/1995,22.0,N,108,DAL,Dallas,Mavericks,5,2,0,1,0,0,0,Ben Bentil
10109,42.0,F,11/12/1992,24.0,Y,106,SAS,San Antonio,Spurs,81,61,34,173,69,34,28,Davis Bertans
9239,2.0,PG,7/12/1988,28.0,N,109,HOU,Houston,Rockets,70,256,118,287,110,95,73,Patrick Beverley
9497,18.0,C,8/28/1992,24.0,N,95,ORL,Orlando,Magic,81,341,179,0,0,234,125,Bismack Biyombo
9348,88.0,PF,5/9/1988,29.0,N,100,MIN,Minnesota,Timberwolves,67,179,95,177,56,61,45,Nemanja Bjelica
9284,28.0,C,11/22/1991,25.0,N,105,LAL,Los Angeles,Lakers,71,291,149,2,1,109,82,Tarik Black
9428,2.0,PG,12/9/1989,27.0,N,104,PHX,Phoenix,Suns,68,728,345,309,104,458,388,Eric Bledsoe
9114,44.0,SF,4/17/1989,28.0,N,94,WAS,Washington,Wizards,83,453,232,392,144,243,217,Bojan Bogdanovic
9217,12.0,C,11/27/1984,32.0,N,86,CLE,Cleveland,Cavaliers,38,80,38,1,0,11,3,Andrew Bogut
10106,21.0,F,1/28/1994,23.0,Y,98,UTA,Utah,Jazz,25,12,8,4,1,6,3,Joel Bolomboy
9434,1.0,SG,10/30/1996,20.0,N,104,PHX,Phoenix,Suns,82,1025,459,405,147,441,367,Devin Booker
9508,35.0,PF,11/25/1987,29.0,N,84,BRO,Brooklyn,Nets,79,513,280,78,25,110,74,Trevor Booker
9308,1.0,PF,3/24/1984,33.0,N,92,MIA,Miami,Heat,1,0,0,0,0,0,0,Chris Bosh
9097,0.0,SG,11/26/1990,26.0,N,82,BOS,Boston,Celtics,61,498,251,277,108,93,68,Avery Bradley
9240,33.0,SF,3/4/1986,31.0,N,105,LAL,Los Angeles,Lakers,82,230,120,118,27,68,50,Corey Brewer
10127,13.0,G,12/11/1992,24.0,Y,90,MIL,Milwaukee,Bucks,77,442,212,192,78,126,109,Malcolm Brogdon
9154,10.0,PG,1/14/1985,32.0,N,87,IND,Indiana,Pacers,72,172,73,128,48,40,32,Aaron Brooks
9289,21.0,SF,10/10/1992,24.0,N,95,ORL,Orlando,Magic,15,23,11,27,7,0,0,Anthony Brown
10147,8.0,G,9/24/1984,32.0,N,109,HOU,Houston,Rockets,43,25,9,35,14,2,2,Bobby Brown
10090,7.0,SF,8/24/1996,20.0,Y,82,BOS,Boston,Celtics,80,289,146,135,46,124,85,Jaylen Brown
10118,9.0,F,3/2/1993,24.0,Y,108,DAL,Dallas,Mavericks,74,46,23,95,29,22,17,Nicolas Brussino
9278,24.0,SF,8/22/1978,38.0,N,105,LAL,Los Angeles,Lakers,1,0,0,0,0,0,0,Kobe Bryant
9204,25.0,SF,3/16/1991,26.0,N,88,DET,Detroit,Pistons,40,55,26,73,28,7,5,Reggie Bullock
9504,31.0,PG,11/12/1992,24.0,N,94,WAS,Washington,Wizards,64,184,85,70,31,29,22,Trey Burke
9507,10.0,SG,7/20/1991,25.0,N,98,UTA,Utah,Jazz,47,172,74,76,25,78,60,Alec Burks
9465,31.0,SF,3/13/1980,37.0,N,103,SAC,Sacramento,Kings,2,0,0,0,0,0,0,Caron Butler
9152,21.0,SG,9/14/1989,27.0,N,89,CHI,Chicago,Bulls,79,1004,479,248,91,676,585,Jimmy Butler
9494,20.0,SF,9/21/1995,21.0,N,81,TOR,Toronto,Raptors,15,10,4,6,2,0,0,Bruno Caboclo
9370,29.0,PG,9/27/1981,35.0,N,91,ATL,Atlanta,Hawks,52,70,35,64,20,12,11,Jose Calderon
9203,5.0,SG,2/18/1993,24.0,N,88,DET,Detroit,Pistons,79,491,217,437,153,185,154,Kentavious Caldwell-Pope
9414,0.0,SG,5/21/1991,25.0,N,89,CHI,Chicago,Bulls,55,79,38,94,25,33,30,Isaiah Canaan
9237,15.0,C,5/18/1994,22.0,N,109,HOU,Houston,Rockets,69,562,362,0,0,177,94,Clint Capela
9496,5.0,SF,7/27/1986,30.0,N,81,TOR,Toronto,Raptors,79,229,111,320,109,117,89,DeMarre Carroll
9292,15.0,SG,1/26/1977,40.0,N,107,MEM,Memphis,Grizzlies,76,194,81,296,112,115,88,Vince Carter
