A.J. Hammons,204,504,0.40476190476190477,0.40712615185137463
Aaron Brooks,1452,3600,0.4033333333333333,0.4036943173263758
Aaron Gordon,4716,10368,0.4548611111111111,0.4548312912707083
Adreian Payne,276,648,0.42592592592592593,0.4268092166316708
Al Horford,4548,9612,0.4731585518102372,0.47306670425668923
Al Jefferson,2820,5652,0.4989384288747346,0.4986398896440304
Al-Farouq Aminu,2196,5592,0.3927038626609442,0.39299643887403546
Alan Anderson,360,960,0.375,0.377221206372432
Alan Williams,1656,3204,0.5168539325842697,0.5161553182357256
Alec Burks,1188,2976,0.39919354838709675,0.3996727342324331
Alex Abrines,1608,4092,0.39296187683284456,0.3933589157014881
Alex Len,2760,5544,0.49783549783549785,0.4975373988902298
Alex Poythress,300,648,0.46296296296296297,0.46213143986362154
Alexis Ajinca,1068,2136,0.5,0.49920176972009195
Allen Crabbe,3636,7764,0.46831530139103555,0.46822122551410966
Alonzo Gee,36,168,0.21428571428571427,0.25067483132850316
Amir Johnson,2556,4428,0.5772357723577236,0.5763029493035069
Anderson Varejao,60,168,0.35714285714285715,0.3710003540222416
Andre Drummond,5784,10908,0.5302530253025303,0.5300078706592586
Andre Iguodala,2628,4980,0.5277108433734939,0.5271916562735397
Andre Roberson,2580,5556,0.46436285097192226,0.464253852448315
Andrew Bogut,456,972,0.4691358024691358,0.4683792426357904
Andrew Harrison,1404,4320,0.325,0.3258675668208198
Andrew Nicholson,516,1332,0.38738738738738737,0.38871675705266934
Andrew Wiggins,8508,18816,0.45216836734693877,0.45215640820862735
Anthony Bennett,456,1104,0.41304347826086957,0.41392895967255916
Anthony Brown,216,600,0.36,0.364234826233968
Anthony Davis,9240,18300,0.5049180327868853,0.5048152124164839
Anthony Morrow,1176,3012,0.3904382470119522,0.3910022645333538
Anthony Tolliver,1860,4212,0.4415954415954416,0.44162070720163676
Archie Goodwin,432,792,0.5454545454545454,0.5416169737263057
Arinze Onuaku,24,48,0.5,0.4782260930293213
Aron Baynes,1716,3348,0.5125448028673835,0.5119160698462702
Arron Afflalo,2220,5040,0.44047619047619047,0.4405042739146514
Austin Rivers,3876,8772,0.4418604651162791,0.44187169663409986
Avery Bradley,4308,9300,0.4632258064516129,0.4631643739816755
Axel Toupane,60,108,0.5555555555555556,0.5306173914696868
Ben McLemore,2160,5028,0.4295942720763723,0.42969008420172894
Beno Udrih,1104,2364,0.467005076142132,0.4667161351204662
Bismack Biyombo,2148,4092,0.5249266862170088,0.5243169315750467
Blake Griffin,5748,11652,0.4933058702368692,0.4931758110482104
Boban Marjanovic,864,1584,0.5454545454545454,0.5434983937689024
Bobby Brown,276,720,0.38333333333333336,0.3859150807402234
Bobby Portis,2196,4500,0.488,0.4877015035973933
Bojan Bogdanovic,4512,10140,0.44497041420118344,0.4449705165007168
Boris Diaw,1752,3924,0.44648318042813456,0.4464714120159075
Bradley Beal,7644,15852,0.4822104466313399,0.4821367541793024
Brandan Wright,996,1620,0.6148148148148148,0.6115800491988379
Brandon Bass,1284,2232,0.5752688172043011,0.5734583103995916
Brandon Ingram,3312,8244,0.4017467248908297,0.4019111642966005
Brandon Jennings,2304,6408,0.3595505617977528,0.3599680281899317
Brandon Knight,2508,6288,0.3988549618320611,0.3990846940506674
Brandon Rush,840,2256,0.3723404255319149,0.37333974500825534
Brian Roberts,552,1464,0.3770491803278688,0.37847868790579636
Briante Weber,300,720,0.4166666666666667,0.4178529539147058
Brice Johnson,24,84,0.2857142857142857,0.32911558802813057
Brook Lopez,6660,14076,0.4731457800511509,0.47308302414812275
Bruno Caboclo,72,192,0.375,0.3848552109501277
Bryn Forbes,432,1188,0.36363636363636365,0.36573542795946345
Buddy Hield,3924,9216,0.42578125,0.42584664213768264
CJ McCollum,8304,17292,0.48022206800832756,0.4801581120295543
CJ Miles,3372,7764,0.43431221020092736,0.4343553553488103
CJ Watson,1152,2976,0.3870967741935484,0.38770249595529255
CJ Wilcox,96,372,0.25806451612903225,0.27264072116635935
Cameron Payne,768,2316,0.3316062176165803,0.33312588503532264
Caris Levert,2052,4560,0.45,0.4499657658155876
Carmelo Anthony,7224,16680,0.4330935251798561,0.43311594540998716
Chandler Parsons,900,2664,0.33783783783783783,0.3390885772615823
Channing Frye,2856,6240,0.4576923076923077,0.4576286579698274
Chasson Randle,480,1176,0.40816326530612246,0.4091230942699561
Cheick Diallo,432,912,0.47368421052631576,0.4727278734325153
Chinanu Onuaku,60,84,0.7142857142857143,0.6409147708302458
Chris Andersen,108,264,0.4090909090909091,0.41291469391616714
Chris McCullough,192,384,0.5,0.4958356140073533
Chris Paul,4488,9420,0.4764331210191083,0.4763285083279794
Christian Wood,144,276,0.5217391304347826,0.5138876065581045
Clint Capela,4344,6744,0.6441281138790036,0.6432035643172899
Cody Zeller,3036,5316,0.5711060948081265,0.5703642372165834
Cole Aldrich,540,1032,0.5232558139534884,0.5209409766798381
Corey Brewer,1764,4176,0.4224137931034483,0.42258269497746614
Cory Joseph,3588,7932,0.4523449319213313,0.45231593021456423
Courtney Lee,3852,8448,0.4559659090909091,0.45592523833931387
Cristiano Felicio,1536,2664,0.5765765765765766,0.5750409759189968
D'Angelo Russell,4212,10404,0.40484429065743943,0.4049653553325045
D.J. Augustin,2340,6204,0.3771760154738878,0.3775182163926691
Damian Jones,96,192,0.5,0.4922574973895411
Damian Lillard,7932,17868,0.44392209536601746,0.4439239959555502
Damjan Rudez,372,1056,0.3522727272727273,0.354955321063763
Daniel Ochefu,144,324,0.4444444444444444,0.4444939212749447
